Level,Difficulty,Damage,Encounter
"0",,"2,4,3,2,2,3,4","Sword, Axe"
"1",,"0, 2,0","Sword, Knight"
"1",,"1,2","Boar, Hive"
"1",,"0","Sword, Sword +1"
"1",,"","Sword, Axe+1hp"
"1",,"0","Sword +1hp, Sword +1hp"
"1",,"0","Squid, Squid, Boar +1hp +1damage"
"1",,"4,3,3,0,3","Wimp, Wimp, Reckless Attacker -1stagger"
"1",,"2,0,0,3,5,2,3,0,0,2,0,4","Doombringer, Sword"
"1",,"","3 enemies 7 hp 2 lives 2 timer, one starts with +1 timer"
"1",,"0,0","Reckless attacker, Reckless Attacker -1"
"1",,"8","Sword, Sword, Sword"
"1",,"0,2,2","Armored Knight, Sword"
"1",,"2,0,0","Cowardly Tiger, Turtle"
"1",,"6","bomb cart, axe, axe, axe"
"1","2","4,0,3,0,0","Reckless Attacker, Boar"
"1",,"1,0,1","Beetle, Sword"
"1",,"4,0,6","axe,axe+1,axe+2 all +1 hp. First axe has 2 damage, 2nd has 4, 3rd has 6"
"2",,"2","Sword, Sword"
"2",,"1","wimp, wimp, wimp, wimp"
"2",,"4,2","Gnat, Squirrel, Gnat"
"2",,"0,0,0","Charging Rhino, Hive"
"2",,"3,9,10,2,6,4,5,3,4,4,2,3,2,2,8,6","Boar, Boar, Squid"
"2",,"Right:0,0,0 Wrong:6,6,6","Target encounter axe,axe axe"
"2",,"2,2","G Ninja, G Ninja"
"2",,"6,8,8,6,6","Sword, Sword(Invasion Sword, Axe Timer 3)"
"2",,"8,2,0,15+,7,8","Hive, Charging Rhino, Hive"
"2",,"4,6","ninja, ninja -1"
"2",,"0,0,0","Bomb cart, trebuchet, sword"
"2",,"2","Trumpet blower x4"
"2",,"2,3,4,4","Knight, Sword, Berserker"
"2",,"4,6","Turtle, Turtle, Doombringer"
"2",,"2","Boar, Boar, Squirrel"
"2",,"5,7,7,5","Cowardly Tiger, Charging Rhino, Squirrel"
"2",,"0,","Squid, Cowardly Tiger, Turtle"
"2",,"4,4,2,2","Cube, Charging Rhino"
"2",,"3,(3@1),3,2","Snake, Snake, Axe"
"3",,"1,4","trebuchet+1,trebuchet+1, doombringer"
"3",,"","sword, sword +1, scorpion"
"3",,"5,3,5,3","Sword, Axe, Rampaging Beast (Hit player first)"
"3",,"","Sword, Axe, Rampaging Beast"
"3",,"0,0,0,2,4,2,2,0,2,4,6,0","Turtle, Turtle, Shark"
"3",,"4,0,0","Carriage, sword"
"3",,"3,3,5,5,3,3,5,4,7,4,6,7","Hive, Squid, Shark"
"3",,"4,2,4,6,4","Shark, Squirrel, Turtle"
"3",,"","Poison knife guy, poison knife guy, poison knife guy"
"3",,"2,0,0","Executioner, Squid -1 Timer Permanent, Cowardly Tiger"
"3",,"0","Shark, Knight"
"3",,"0,4,2,2,2","Boar, Knight, Berserker"
"3",,"","Cowardly Tiger, Boar, Shark-2"
"3",,"7","Gang Leader, Boar, Squid"
"3",,"(14@2),6,3,7,6,6","Cowardly Tiger, Doombringer, Squirrel"
"3",,"2,0","Executioner, Charging Rhino, Squirrel"
"3",,"","Sword, Axe, Invasion 2, (Charging Rhino | Beetle)"
"4",,"7,2,3","Knight, Rampaging Beast, Knight (player first beast)"
"4",,"5,12,8","Berserker, Berserker, Shark"
"4",,"4,7,6,4,4,4,4,6,4,4","Charging Rhino, Sword, Boar"
"4",,"4","Ninja, Ninja Carriage"
"4",,"1, 17+ 10+","Doombringer, Executioner, Squid, Doombringer"
"4",,"6","Turtle, Shark, Charging Rhino"
"4",,"2,8","Knight, Hive, Hive"
"4",,"2","Charging Rhino, Sword, Squid"
"4",,"","Beetle, Scythe Soldier, Scythe Soldier"
"4",,"7,8,4,6,4,2","Boar, Doombringer, G Ninja"
"4",,"8,2,8,5,6,4","Reckless Attacker, G Ninja, Knight, Squid"
"5",,"8,2","Turtle, Turtle, Squirrel, Squirrel, Squirrel (Ambushed)"
"5",,"6,7,9,8,8,7,16,5,5","Cowardly Tiger, Shark, Turtle, turtle"
"5",,"8,9,4,12+,9,9,12,9,6,11+","Gang Leader, Scythe Soldier, Scythe Soldier"
"5",,"11, 16*,11, 9,25,17","Sword, Axe, Executioner, Boar"
"5",,"6","Knight, Sword, Squid, Gnat"
"5",,"10","Cowardly Tiger, Shark, Turtle, Squirrel"
"5",,"9,2","Cowardly Tiger, Squid, Shark"
"5",,"4,0","Boar, Doombringer, Knight"
